대학,모집단위,적용학년도,자료상태,구분,핵심과목,권장과목,추가조건,출처기관,출처명,출처URL,발표일,비고,검색키워드
가톨릭대,회계학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,회계학과|회계학
가톨릭대,경제학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,경제학과|경제학|경제
가톨릭대,행정학과,2028,2028 공식자료,,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수[수학(확률과 통계) 포함],,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,행정학과|행정학
가톨릭대,물리학과,2028,2028 공식자료,,"물리학, 수학",,-물리학: 과목 1과목 이상 -수학: 과목 위계를 고려하여 3과목 이상,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,물리학과|물리학
가톨릭대,컴퓨터정보공학부,2028,2028 공식자료,,"물리학, 수학",,-물리학: 과목 1과목 이상 -수학: 과목 위계를 고려하여 3과목 이상,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,컴퓨터정보공학부|컴퓨터정보공
가톨릭대,인공지능학과,2028,2028 공식자료,,"물리학, 수학",,-물리학: 과목 1과목 이상 -수학: 과목 위계를 고려하여 3과목 이상,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,인공지능학과|인공지능학
가톨릭대,화학과,2028,2028 공식자료,,"화학, 수학",,-화학: 1과목 이상 -수학: 과목 위계를 고려하여 3과목 이상,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,화학과|화학
가톨릭대,정보통신전자공학부,2028,2028 공식자료,,"물리학, 화학, 수학",,"-물리학, 화학: 2과목 이상 -수학: 과목 위계를 고려하여 3과목 이상",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,정보통신전자공학부|정보통신전자공
가톨릭대,에너지환경공학과,2028,2028 공식자료,,"물리학, 화학, 수학",,"-물리학, 화학: 2과목 이상 -수학: 과목 위계를 고려하여 3과목 이상",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,에너지환경공학과|에너지환경공학
가톨릭대,식품영양학과,2028,2028 공식자료,,"화학, 생명과학, 수학",,"-화학, 생명과학: 2과목 이상 -수학: 과목 위계를 고려하여 3과목 이상",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,식품영양학과|식품영양학
가톨릭대,생명공학과,2028,2028 공식자료,,"화학, 생명과학, 수학",,"-화학, 생명과학: 2과목 이상 -수학: 과목 위계를 고려하여 3과목 이상",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,생명공학과|생명공학|바이오공학|바이오
가톨릭대,바이오메디컬화학공학과,2028,2028 공식자료,,"화학, 생명과학, 수학",,"-화학, 생명과학: 2과목 이상 -수학: 과목 위계를 고려하여 3과목 이상",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,바이오메디컬화학공학과|바이오메디컬화학공학
가톨릭대,의생명과학과,2028,2028 공식자료,,"화학, 생명과학, 수학",,"-화학, 생명과학: 2과목 이상 -수학: 과목 위계를 고려하여 3과목 이상",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,의생명과학과|의생명과학
가톨릭대,바이오로직스공학부,2028,2028 공식자료,,"화학, 생명과학, 수학",,"-화학, 생명과학: 2과목 이상 -수학: 과목 위계를 고려하여 3과목 이상",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,바이오로직스공학부|바이오로직스공
가톨릭대,AI의공학과,2028,2028 공식자료,,"화학, 생명과학, 수학",,"-화학, 생명과학: 2과목 이상 -수학: 과목 위계를 고려하여 3과목 이상",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,AI의공학과|AI의공학
가톨릭대,약학과,2028,2028 공식자료,,"화학, 생명과학, 수학",,"-화학, 생명과학: 2과목 이상 -수학: 과목 위계를 고려하여 3과목 이상",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,약학과|약학|약대
가톨릭대,간호학과,2028,2028 공식자료,,"화학, 생명과학, 수학",,"-화학, 생명과학: 2과목 이상 -수학: 과목 위계를 고려하여 3과목 이상",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,간호학과|간호학|간호
가톨릭대,수학과,2028,2028 공식자료,,수학,,과목 위계를 고려하여 3과목 이상,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,수학과|수학
가톨릭대,의류학과,2028,2028 공식자료,,수학,,과목 위계를 고려하여 3과목 이상,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,의류학과|의류학
가톨릭대,공간디자인·소비자학과,2028,2028 공식자료,,수학,,과목 위계를 고려하여 3과목 이상,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,공간디자인·소비자학과|공간디자인·소비자학
가톨릭대,미디어기술콘텐츠학과,2028,2028 공식자료,,수학,,과목 위계를 고려하여 3과목 이상,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,미디어기술콘텐츠학과|미디어기술콘텐츠학
가톨릭대,데이터사이언스학과,2028,2028 공식자료,,수학,,과목 위계를 고려하여 3과목 이상,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,데이터사이언스학과|데이터사이언스학
가톨릭대,의예과,2028,2028 공식자료,,"화학, 생명과학, 수학",,"-세포와 물질대사, 생물과 유전 포함 3과목 이상 -수학: 과목 위계를 고려하여 3과목 이상",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울,의예과|의대|의학|의예
건국대,문과대학,2028,2028 공식자료,인문,"국어, 영어, 사회",,"일반선택 과목을 먼저 이수하고, 진로 적성에 맞게 진로선택 과목 및 융합선택 과목 이수를 추천",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 인문,문과대학|인문
건국대,사범대학,2028,2028 공식자료,인문,"국어, 영어, 사회",,"일반선택 과목을 먼저 이수하고, 진로 적성에 맞게 진로선택 과목 및 융합선택 과목 이수를 추천",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 인문,사범대학|인문
건국대,사회과학대학,2028,2028 공식자료,사회과학,"국어, 사회, 수학(대수, 미적분Ⅰ, 확률과 통계)",,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 사회과학,사회과학대학|사회과학
건국대,경영대학,2028,2028 공식자료,사회과학,"국어, 사회, 수학(대수, 미적분Ⅰ, 확률과 통계)",,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 사회과학,경영대학|사회과학
건국대,부동산대학,2028,2028 공식자료,사회과학,"국어, 사회, 수학(대수, 미적분Ⅰ, 확률과 통계)",,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 사회과학,부동산대학|사회과학
건국대,이과대학,2028,2028 공식자료,이학,"수학(대수, 미적분Ⅰ, 미적분Ⅱ, 확률과 통계), 과학",,"과학은 일반선택 과목 먼저 이수 후, 진로와 적성에 맞게 진로선택 과목 이수 추천",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 이학,이과대학|이학
건국대,건축대학,2028,2028 공식자료,건축,"수학(대수, 미적분Ⅰ, 미적분Ⅱ, 확률과 통계), 과학",,"과학은 일반선택 과목 먼저 이수 후, 진로와 적성에 맞게 진로선택 과목 이수 추천",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 건축,건축대학|건축
건국대,융합과학기술원,2028,2028 공식자료,생명,"수학(대수, 미적분Ⅰ, 미적분Ⅱ, 확률과 통계), 과학",,"과학은 일반선택 과목 먼저 이수 후, 진로와 적성에 맞게 진로선택 과목 이수 추천",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 생명,융합과학기술원|생명
건국대,생명과학대학,2028,2028 공식자료,생명,"수학(대수, 미적분Ⅰ, 미적분Ⅱ, 확률과 통계), 과학",,"과학은 일반선택 과목 먼저 이수 후, 진로와 적성에 맞게 진로선택 과목 이수 추천",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 생명,생명과학대학|생명
건국대,수의과대학,2028,2028 공식자료,생명,"수학(대수, 미적분Ⅰ, 미적분Ⅱ, 확률과 통계), 과학",,"과학은 일반선택 과목 먼저 이수 후, 진로와 적성에 맞게 진로선택 과목 이수 추천",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 생명,수의과대학|생명
건국대,공과대학,2028,2028 공식자료,공학,"수학(대수, 미적분Ⅰ, 미적분Ⅱ, 기하), 과학(물리학)",,"과학은 일반선택 과목 먼저 이수 후, 진로와 적성에 맞게 진로선택 과목 이수 추천",한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 공학,공과대학|공학
건국대,KU자유전공학부,2028,2028 공식자료,자유전공,계열 상관없이 자신의 진로와 적성에 따라 과목 선택하여 이수,,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 자유전공,KU자유전공학부|KU자유전공|자유전공|자유
경희대,수학과,2028,2028 공식자료,수학,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ, 기하",,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 수학,수학과|수학
경희대,응용수학과,2028,2028 공식자료,수학,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ, 기하",,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 수학,응용수학과|응용수학|수학
경희대,소프트웨어융합학과,2028,2028 공식자료,컴퓨터,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ, 기하",인공지능 수학,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 컴퓨터,소프트웨어융합학과|소프트웨어융합학|컴퓨터
경희대,인공지능학과,2028,2028 공식자료,컴퓨터,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ, 기하",인공지능 수학,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 컴퓨터,인공지능학과|인공지능학|컴퓨터
경희대,컴퓨터공학과,2028,2028 공식자료,컴퓨터,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ, 기하",인공지능 수학,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 컴퓨터,컴퓨터공학과|컴퓨터공학|컴퓨터|컴공|컴퓨터과학
경희대,산업경영공학과,2028,2028 공식자료,산업,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ",,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 산업,산업경영공학과|산업경영공학|산업
경희대,물리학과,2028,2028 공식자료,물리,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ, 기하, 물리학, 역학과 에너지, 전자기와 양자","화학, 물질과 에너지",,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 물리,물리학과|물리학|물리
경희대,응용물리학과,2028,2028 공식자료,물리,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ, 기하, 물리학, 역학과 에너지, 전자기와 양자","화학, 물질과 에너지",,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 물리,응용물리학과|응용물리학|물리
경희대,기계공학부,2028,2028 공식자료,기계,"대수, 미적분Ⅰ, 확률과 통계, 물리학, 화학, 미적분Ⅱ, 기하, 역학과 에너지, 전자기와 양자","물질과 에너지, 화학 반응의 세계",,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 기계,기계공학부|기계공|기계|기계공학
경희대,미래정보디스플레이학부,2028,2028 공식자료,전기·전자,"대수, 미적분Ⅰ, 확률과 통계, 물리학, 화학, 미적분Ⅱ, 기하, 역학과 에너지, 전자기와 양자",,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 전기·전자,미래정보디스플레이학부|미래정보디스플레이|전기·전자
경희대,생체의공학과,2028,2028 공식자료,전기·전자,"대수, 미적분Ⅰ, 확률과 통계, 물리학, 화학, 미적분Ⅱ, 기하, 역학과 에너지, 전자기와 양자",,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 전기·전자,생체의공학과|생체의공학|전기·전자
경희대,전자공학과,2028,2028 공식자료,전기·전자,"대수, 미적분Ⅰ, 확률과 통계, 물리학, 화학, 미적분Ⅱ, 기하, 역학과 에너지, 전자기와 양자",,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 전기·전자,전자공학과|전자공학|전기·전자
경희대,반도체공학과,2028,2028 공식자료,전기·전자,"대수, 미적분Ⅰ, 확률과 통계, 물리학, 화학, 미적분Ⅱ, 기하, 역학과 에너지, 전자기와 양자",,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 전기·전자,반도체공학과|반도체공학|전기·전자
경희대,건축공학과,2028,2028 공식자료,건설/건축,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ, 물리학",기하,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 건설/건축,건축공학과|건축공학|건설/건축
경희대,사회기반시스템공학과,2028,2028 공식자료,건설/건축,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ, 물리학",기하,,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 건설/건축,사회기반시스템공학과|사회기반시스템공학|건설/건축
경희대,건축학과,2028,2028 공식자료,건설/건축,"대수, 미적분Ⅰ, 확률과 통계","미적분Ⅱ, 기하, 물리학",,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 건설/건축,건축학과|건축학|건설/건축
경희대,화학과,2028,2028 공식자료,화학,"대수, 미적분Ⅰ, 확률과 통계, 미적분Ⅱ, 화학, 물질과 에너지, 화학 반응의 세계","기하, 물리학, 생명과학, [역학과 에너지, 전자기와 양자 중 1과목]",,한국대학교육협의회·대입정보포털 어디가,2028학년도 권역별 대학별 권장과목(반영과목),https://www.adiga.kr/uct/ces/archiveView.do?menuId=PCUCTCES1000&prtlBbsId=26634,,수도권 / 서울 / 상위단위: 화학,화학과|화학
